State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
VT,3,510,388-6441,no,yes,29,2.0,2,30.48,2.0,1,19.2,3.0,1,14.54,2.0,3,2.32,0,False.
KY,2,415,346-7302,no,yes,35,2.0,2,26.2,1.0,1,10.49,2.0,1,9.09,2.0,3,2.94,2,False.
IA,2,510,379-6506,no,yes,21,2.0,3,27.4,3.0,1,21.44,1.0,2,7.21,1.0,3,1.19,4,False.
MI,1,510,400-3637,no,yes,29,3.0,2,47.84,2.0,1,17.19,2.0,3,8.42,2.0,3,2.43,2,False.
NM,2,510,383-4361,no,yes,21,1.0,3,20.04,1.0,3,13.98,2.0,1,9.76,2.0,2,2.65,1,False.
CO,3,415,371-4306,no,yes,32,2.0,2,25.26,1.0,2,11.14,2.0,3,9.87,2.0,1,2.73,1,False.
ME,1,510,363-1069,yes,yes,42,2.0,2,33.46,3.0,3,21.67,1.0,3,6.22,3.0,3,5.4,0,True.
MO,2,510,409-1244,no,yes,36,1.0,3,19.33,1.0,1,13.39,2.0,3,7.99,2.0,2,2.7,2,False.
TX,1,408,370-7550,no,yes,22,2.0,2,36.35,1.0,1,12.05,1.0,3,6.4,1.0,2,1.94,0,False.
MS,1,510,414-8718,no,yes,27,2.0,3,31.88,1.0,2,12.46,2.0,3,10.16,1.0,3,1.73,4,True.
NE,3,408,331-4902,no,yes,36,2.0,3,36.41,1.0,3,13.74,3.0,2,11.91,2.0,2,2.57,3,False.
AL,2,510,387-2919,yes,no,0,1.0,2,22.08,2.0,1,14.73,3.0,3,11.12,2.0,2,3.02,3,False.
NY,2,415,374-8525,no,yes,21,2.0,2,29.89,2.0,2,18.49,3.0,3,10.69,1.0,2,1.43,5,False.
AK,3,510,345-8237,no,yes,36,2.0,3,31.14,1.0,1,10.78,3.0,1,11.85,2.0,3,3.02,1,False.
NV,2,415,422-6690,no,yes,23,2.0,2,34.85,1.0,1,12.92,1.0,1,7.14,2.0,2,2.75,2,False.
MD,2,415,374-3534,no,yes,39,2.0,1,34.05,2.0,2,18.73,3.0,3,11.42,2.0,2,2.84,0,False.
MI,3,415,381-4756,no,yes,28,2.0,2,32.74,2.0,1,16.62,1.0,3,4.94,1.0,2,1.84,3,False.
VT,2,408,390-2390,yes,no,0,2.0,1,28.41,2.0,2,15.09,3.0,3,11.22,3.0,3,3.81,2,True.
UT,2,408,380-3561,yes,no,0,3.0,2,46.16,2.0,3,18.39,1.0,2,5.45,2.0,2,3.16,1,False.
RI,3,408,366-6730,no,yes,43,3.0,2,43.81,1.0,2,13.78,3.0,1,12.91,2.0,2,3.0,2,False.
VA,3,510,328-6289,no,yes,23,2.0,3,26.79,3.0,2,21.0,3.0,2,11.66,3.0,1,3.7,0,False.
FL,2,510,351-4616,no,yes,24,1.0,3,24.16,2.0,3,15.59,1.0,3,7.42,2.0,2,2.59,1,False.
IA,3,510,406-4710,no,yes,36,2.0,2,31.88,3.0,3,20.52,2.0,2,10.33,2.0,2,2.84,3,False.
DE,2,415,361-9845,no,yes,33,3.0,2,41.33,2.0,2,18.17,2.0,2,10.29,3.0,1,3.27,2,False.
GA,3,510,366-5699,no,yes,31,2.0,3,32.27,1.0,3,13.88,3.0,3,11.92,1.0,2,2.03,1,False.
AZ,2,408,390-7434,no,yes,38,2.0,3,28.92,2.0,3,16.43,1.0,1,4.77,3.0,2,3.46,1,False.
NH,1,408,394-2445,no,yes,27,2.0,2,30.96,2.0,2,14.42,1.0,1,7.41,2.0,2,2.86,2,False.
WV,2,510,355-5009,yes,yes,23,2.0,3,33.51,2.0,3,18.23,3.0,2,12.7,2.0,2,2.57,4,False.
NY,1,408,405-2888,no,yes,36,1.0,2,19.65,3.0,2,20.2,2.0,2,7.65,2.0,3,2.67,2,False.
VA,3,510,350-1639,yes,no,0,3.0,1,44.18,3.0,3,20.83,1.0,3,6.05,1.0,2,2.27,3,False.
OK,2,408,408-6496,no,yes,23,3.0,1,49.22,2.0,2,14.16,1.0,2,5.36,2.0,2,2.57,1,False.
MD,2,415,385-7688,no,yes,23,2.0,1,33.68,2.0,1,15.05,2.0,2,8.12,1.0,3,1.84,1,False.
ME,3,510,353-7292,yes,yes,26,3.0,2,49.79,2.0,2,16.97,3.0,3,11.49,3.0,3,3.73,4,True.
MN,1,415,358-3261,no,yes,24,2.0,3,24.77,2.0,3,18.74,3.0,2,11.25,3.0,2,3.54,3,False.
MO,1,415,339-9453,no,yes,36,1.0,1,18.14,2.0,1,17.83,2.0,3,8.57,3.0,1,3.27,1,False.
AZ,3,510,346-7795,yes,no,0,2.0,2,34.6,3.0,2,21.05,2.0,2,8.74,2.0,3,3.21,0,False.
PA,2,415,333-5609,no,yes,24,2.0,3,26.38,3.0,2,20.78,1.0,1,5.51,2.0,2,2.89,1,False.
AZ,2,408,405-1842,no,yes,31,2.0,3,28.49,1.0,3,9.61,3.0,3,11.11,3.0,3,3.29,1,False.
FL,1,510,366-6345,yes,no,0,3.0,2,38.54,2.0,3,19.39,1.0,2,3.29,3.0,2,4.75,2,True.
TN,3,408,336-1090,no,yes,22,2.0,3,28.22,2.0,2,14.83,3.0,1,11.02,2.0,3,2.75,1,False.
IA,2,408,403-6419,no,yes,27,2.0,1,31.65,2.0,1,16.12,1.0,3,3.44,2.0,2,2.59,2,False.
VA,2,415,386-9790,no,yes,23,3.0,3,47.63,2.0,2,18.74,1.0,2,6.16,3.0,2,3.59,4,False.
KY,1,415,378-5692,no,yes,22,2.0,1,33.42,3.0,2,26.62,1.0,2,7.35,2.0,2,3.21,0,False.
MD,2,408,360-3324,yes,no,0,3.0,2,53.04,1.0,2,11.0,2.0,1,9.79,2.0,1,2.84,0,True.
OH,1,415,410-3719,yes,yes,36,2.0,2,33.83,3.0,2,24.76,2.0,2,8.89,2.0,3,2.97,1,False.
ID,2,415,359-6196,yes,no,0,2.0,3,29.43,3.0,2,20.43,2.0,3,10.49,2.0,2,2.43,1,False.
SD,2,408,357-4078,no,yes,40,2.0,2,34.44,1.0,3,10.1,2.0,2,10.57,2.0,3,2.43,2,False.
NV,3,415,338-1027,yes,no,0,1.0,2,22.97,1.0,2,11.4,2.0,1,10.04,3.0,1,3.32,2,True.
RI,2,415,385-8240,no,yes,37,1.0,2,10.2,1.0,1,8.69,3.0,2,11.78,2.0,2,3.0,0,False.
NM,2,510,349-1687,no,yes,23,2.0,3,26.18,3.0,3,23.63,2.0,2,10.28,2.0,2,3.19,2,False.
OR,1,415,380-2558,no,yes,29,2.0,2,26.76,1.0,1,10.02,3.0,1,12.56,3.0,3,3.75,4,True.
MI,2,510,349-2808,no,yes,41,1.0,2,20.23,2.0,3,19.55,3.0,1,10.66,2.0,2,2.57,0,False.
TX,2,415,411-1715,yes,no,0,2.0,3,24.43,3.0,1,23.21,2.0,1,8.02,2.0,2,2.94,0,False.
FL,2,408,385-2488,no,yes,32,2.0,3,28.2,2.0,2,18.4,2.0,1,7.79,3.0,3,3.81,4,False.
KS,2,408,386-4170,yes,no,0,1.0,2,10.64,2.0,3,15.35,2.0,1,9.98,2.0,1,2.81,1,True.
MN,1,510,396-4460,no,yes,25,2.0,2,28.03,2.0,2,17.79,2.0,1,10.4,1.0,3,1.81,1,False.
WV,2,510,417-6774,no,yes,30,2.0,1,35.05,3.0,2,22.1,3.0,1,13.12,2.0,3,3.08,1,False.
RI,2,510,411-9554,no,yes,28,3.0,2,38.39,2.0,3,16.41,2.0,2,10.46,1.0,3,2.27,4,False.
MO,1,510,389-1475,no,yes,48,1.0,2,16.05,1.0,2,11.58,1.0,2,6.63,1.0,2,1.22,0,False.
MA,2,408,343-7734,yes,no,0,2.0,3,27.2,2.0,2,14.91,2.0,2,8.32,2.0,2,2.67,2,False.
AL,1,415,331-6229,no,yes,28,2.0,1,36.45,2.0,2,19.99,2.0,2,9.28,1.0,3,2.16,3,False.
PA,2,408,339-9631,no,yes,28,2.0,2,25.69,2.0,1,16.56,3.0,3,10.76,2.0,2,2.7,1,False.
HI,3,510,416-3915,yes,no,0,3.0,2,37.21,2.0,1,17.68,2.0,2,9.15,2.0,2,3.0,0,False.
SD,3,408,339-3049,no,yes,48,2.0,2,32.27,1.0,1,10.49,2.0,2,9.64,1.0,1,1.76,2,True.
AL,3,415,361-7998,no,yes,25,2.0,1,32.76,2.0,2,19.2,3.0,1,11.44,2.0,3,2.94,2,False.
VT,3,510,355-4842,yes,no,0,2.0,3,34.75,2.0,2,18.62,2.0,3,10.02,2.0,3,2.84,3,False.
AK,1,415,389-7073,no,yes,37,2.0,3,35.99,1.0,1,13.59,1.0,1,6.48,3.0,1,3.29,1,False.
MI,2,415,370-8463,no,yes,28,3.0,1,37.67,3.0,2,24.51,3.0,2,10.81,2.0,1,2.43,1,False.
SD,3,408,412-1194,no,yes,24,2.0,2,25.08,2.0,2,14.93,3.0,2,11.34,3.0,2,4.21,2,False.
CT,3,415,393-6733,no,yes,34,3.0,3,39.2,2.0,2,18.65,3.0,2,13.47,1.0,1,2.16,0,False.
CT,2,415,387-5860,no,yes,37,2.0,2,29.36,1.0,3,10.21,2.0,1,9.72,2.0,2,2.78,5,True.
WI,2,510,343-2605,no,yes,18,2.0,1,29.36,1.0,2,11.34,3.0,1,11.68,2.0,2,2.65,1,False.
TX,2,415,399-8845,no,yes,38,3.0,2,40.17,2.0,2,16.65,2.0,1,8.26,2.0,3,2.62,1,False.
GA,2,415,381-9196,no,yes,28,1.0,2,20.57,3.0,2,22.98,1.0,1,7.22,1.0,2,2.08,2,False.
RI,2,415,329-3222,no,yes,29,1.0,1,20.03,3.0,3,21.83,1.0,1,6.64,1.0,2,2.05,3,False.
ID,3,510,363-5819,no,yes,21,3.0,2,39.51,2.0,3,18.01,3.0,2,12.29,1.0,2,1.35,3,False.
SD,3,510,413-9269,yes,yes,32,3.0,1,38.0,2.0,1,16.05,1.0,2,6.97,2.0,1,2.54,2,True.
WY,2,415,403-7775,no,yes,32,1.0,1,21.28,2.0,2,15.11,2.0,2,10.46,3.0,2,3.48,1,False.
ME,2,510,359-8466,no,yes,30,1.0,2,10.0,2.0,2,18.66,1.0,3,6.85,1.0,2,1.92,0,False.
AL,2,408,331-8909,no,yes,35,1.0,2,11.68,2.0,1,17.78,2.0,1,8.88,2.0,2,3.08,1,False.
GA,3,408,359-5160,no,yes,33,3.0,2,40.66,3.0,2,20.02,1.0,2,7.03,2.0,2,2.57,1,False.
KY,3,408,396-8265,no,yes,17,2.0,2,36.5,1.0,2,11.77,2.0,1,7.61,2.0,2,2.32,1,False.
IL,1,415,350-6639,no,yes,34,3.0,2,37.71,1.0,1,13.74,2.0,1,10.25,3.0,3,3.78,0,False.
IN,2,408,376-4300,no,yes,21,1.0,2,10.98,2.0,1,14.97,3.0,1,11.02,1.0,1,0.0,2,False.
SC,1,510,349-6567,no,yes,37,2.0,2,26.28,1.0,2,7.09,1.0,2,7.47,3.0,2,3.59,1,False.
WI,2,415,408-6089,no,yes,33,2.0,3,27.47,1.0,2,10.46,3.0,2,11.76,3.0,2,3.29,1,False.
AZ,2,415,400-6999,no,yes,41,2.0,3,26.5,1.0,2,13.8,1.0,2,5.74,3.0,2,3.54,3,False.
AR,3,415,413-3412,yes,yes,38,3.0,1,37.42,2.0,1,19.92,3.0,1,10.68,2.0,2,2.73,4,False.
MS,1,408,402-1942,yes,no,0,3.0,1,40.15,2.0,1,18.58,2.0,2,8.73,3.0,1,3.56,2,True.
CA,2,408,343-6374,yes,no,0,3.0,2,41.58,2.0,1,16.05,2.0,3,9.27,2.0,2,3.05,1,False.
NM,2,408,385-8730,no,yes,23,1.0,1,22.81,2.0,3,19.32,1.0,2,5.51,2.0,1,2.3,2,False.
NE,1,408,393-7892,yes,yes,39,2.0,3,25.45,2.0,1,17.94,1.0,2,5.14,2.0,2,2.48,1,False.
SC,2,408,407-6748,no,yes,29,2.0,2,25.52,3.0,2,22.5,2.0,2,8.03,1.0,2,1.57,1,False.
CO,3,408,341-4463,yes,no,0,3.0,1,43.71,3.0,3,26.54,2.0,1,8.24,2.0,3,2.38,1,True.
OH,1,415,421-9752,no,yes,36,1.0,3,24.09,2.0,2,19.75,2.0,3,9.99,2.0,2,3.24,1,False.
CA,3,415,357-1909,yes,no,0,3.0,1,37.06,1.0,2,9.72,3.0,2,12.11,3.0,1,3.35,0,True.
SD,2,415,370-2957,no,yes,21,2.0,2,36.38,2.0,3,15.3,1.0,1,6.05,2.0,2,2.86,0,False.
MO,2,415,374-7787,yes,no,0,2.0,1,28.14,3.0,2,24.33,2.0,2,8.95,2.0,1,3.11,1,True.
OR,3,415,332-9460,yes,no,0,2.0,2,29.95,1.0,1,12.33,3.0,2,11.23,1.0,2,1.54,0,False.
IN,2,415,355-6531,yes,yes,22,2.0,1,33.32,3.0,1,27.43,2.0,3,10.15,1.0,2,1.0,1,False.
TN,2,415,376-9249,no,yes,22,3.0,2,47.31,1.0,3,7.94,1.0,1,4.84,2.0,2,2.62,0,False.
GA,2,415,333-5430,no,yes,31,1.0,2,20.57,2.0,2,18.61,2.0,2,10.2,2.0,1,3.24,1,False.
UT,2,408,410-4023,no,yes,26,2.0,2,24.79,2.0,2,16.34,1.0,2,7.43,2.0,1,2.67,1,False.
WI,2,415,421-9401,yes,no,0,3.0,2,44.93,1.0,3,13.68,2.0,1,8.94,2.0,2,2.51,0,False.
RI,3,510,349-4369,yes,no,0,1.0,2,21.64,3.0,1,21.36,1.0,2,6.08,2.0,2,2.78,1,False.
DE,3,510,361-6563,yes,no,0,2.0,2,29.16,1.0,2,13.6,2.0,2,9.56,1.0,1,1.35,1,True.
SD,3,408,372-8048,no,yes,34,1.0,1,24.19,2.0,1,16.56,3.0,1,10.77,3.0,3,4.32,1,False.
NM,3,415,351-9604,no,yes,28,2.0,3,35.17,3.0,3,22.47,2.0,3,7.73,2.0,3,2.51,2,False.
IN,2,415,356-9187,no,yes,45,3.0,3,42.3,1.0,1,11.93,3.0,2,11.86,2.0,1,2.78,3,False.
DC,2,415,394-5537,no,yes,16,3.0,2,37.67,1.0,3,11.07,2.0,2,9.0,2.0,2,3.05,1,False.
MA,3,510,408-2712,yes,no,0,2.0,3,32.79,2.0,2,15.77,2.0,3,9.23,2.0,2,2.94,1,False.
NH,1,415,355-1113,no,yes,40,1.0,1,17.83,2.0,2,18.39,2.0,3,9.78,2.0,3,2.59,1,False.
PA,1,408,383-8848,no,yes,31,3.0,2,49.08,2.0,2,17.32,2.0,1,9.14,2.0,2,2.32,0,False.
MT,1,510,387-9301,no,yes,29,3.0,1,40.87,1.0,2,10.11,1.0,2,7.39,2.0,2,3.02,1,False.
AR,3,510,419-6033,no,yes,27,3.0,3,46.48,1.0,2,13.09,3.0,2,11.06,3.0,3,3.32,1,False.
AR,1,510,343-7242,no,yes,29,1.0,3,22.63,2.0,1,18.8,1.0,2,5.92,1.0,2,1.84,1,False.
WI,2,408,381-5878,yes,no,0,2.0,2,28.12,2.0,3,16.66,3.0,2,15.71,2.0,3,2.59,2,False.
ID,2,510,341-1647,no,yes,21,3.0,1,44.93,2.0,3,17.24,2.0,2,7.8,1.0,2,1.7,4,False.
KS,2,408,339-2616,no,yes,23,3.0,2,38.34,3.0,2,20.94,3.0,1,11.06,2.0,1,2.65,0,False.
LA,3,415,328-7209,no,yes,20,2.0,1,33.81,3.0,2,23.29,2.0,1,8.58,3.0,3,3.86,1,False.
DC,1,415,343-1323,no,yes,28,2.0,1,32.4,2.0,3,18.71,2.0,1,8.11,1.0,2,1.62,3,False.
OH,3,415,392-3813,no,yes,18,1.0,2,18.09,1.0,2,9.19,2.0,2,9.38,2.0,2,2.73,1,False.
ND,2,415,366-8036,no,yes,23,2.0,1,32.9,2.0,2,18.72,3.0,2,12.26,2.0,2,2.3,0,False.
NV,1,415,352-8327,yes,no,0,2.0,2,30.29,2.0,2,14.26,2.0,2,8.19,3.0,2,3.67,3,True.
FL,3,510,334-9505,no,yes,36,3.0,2,38.45,2.0,3,15.44,3.0,2,11.65,2.0,2,2.84,3,True.
AZ,2,415,392-2381,no,yes,32,1.0,3,12.05,2.0,3,14.17,3.0,2,11.02,2.0,2,3.0,3,False.
AL,1,510,369-6880,no,yes,34,2.0,1,33.05,3.0,2,21.67,1.0,3,7.21,3.0,3,4.64,2,False.
WV,1,510,418-6651,no,yes,33,1.0,1,16.42,3.0,2,26.81,1.0,3,7.35,1.0,2,1.67,4,True.
MI,3,415,421-3528,no,yes,20,2.0,2,36.48,2.0,3,19.98,1.0,3,7.33,3.0,3,4.0,0,False.
GA,3,510,403-8904,no,yes,23,2.0,2,25.45,1.0,3,13.81,2.0,3,9.91,1.0,1,2.05,3,False.
UT,1,415,401-5485,no,yes,16,2.0,2,25.4,1.0,2,11.2,1.0,2,5.97,1.0,1,1.81,0,False.
MA,2,510,355-6560,yes,no,0,3.0,2,39.75,2.0,3,18.84,1.0,2,6.61,3.0,2,3.46,0,False.
AL,1,415,375-2975,yes,no,0,2.0,2,32.62,3.0,2,21.77,2.0,2,9.17,3.0,3,3.86,1,True.
ME,2,415,376-8573,yes,no,0,1.0,2,22.22,3.0,3,22.15,3.0,2,10.99,2.0,1,2.54,2,True.
RI,3,415,366-7360,no,yes,33,1.0,2,20.33,3.0,2,23.69,3.0,3,11.85,1.0,1,1.59,2,False.
FL,3,415,390-7328,yes,no,0,2.0,3,26.54,2.0,1,15.33,2.0,3,8.08,2.0,3,3.0,2,False.
CA,2,415,356-5491,no,yes,36,2.0,3,30.38,2.0,2,15.18,1.0,1,5.71,1.0,2,2.16,2,False.
ME,2,408,343-1965,yes,no,0,2.0,1,35.92,1.0,3,8.98,2.0,1,7.92,2.0,2,2.62,4,True.
SD,2,415,386-1548,no,yes,23,1.0,2,19.43,2.0,2,16.18,3.0,2,10.82,3.0,3,3.4,3,False.
FL,2,415,397-1649,no,yes,28,3.0,2,42.74,2.0,2,19.13,3.0,3,11.34,1.0,2,2.03,1,False.
MI,2,415,366-7247,yes,no,0,3.0,1,36.87,2.0,3,17.63,2.0,2,9.98,3.0,2,4.73,1,True.
MI,2,415,402-9691,yes,yes,26,3.0,3,36.92,1.0,2,12.37,3.0,1,12.63,2.0,2,2.51,0,False.
OH,3,415,407-2248,no,yes,31,1.0,2,24.33,3.0,1,20.11,2.0,3,10.25,2.0,2,3.08,2,False.
KS,3,408,407-2081,no,yes,24,2.0,1,31.72,2.0,3,18.87,2.0,3,10.57,2.0,2,3.13,1,False.
MS,2,415,397-9148,no,yes,26,2.0,3,29.04,2.0,3,16.96,2.0,2,7.64,2.0,2,2.59,5,True.
VT,3,408,415-4857,no,yes,17,1.0,2,21.08,2.0,1,17.25,2.0,3,9.23,3.0,2,3.32,1,False.
DE,1,415,349-4703,no,yes,30,3.0,1,36.96,2.0,1,18.17,2.0,2,10.22,1.0,2,1.78,0,False.
AL,1,408,411-7778,yes,yes,29,3.0,2,45.2,2.0,2,18.34,1.0,1,4.86,3.0,3,3.78,0,True.
ID,3,510,421-1469,no,yes,14,1.0,3,15.91,2.0,1,16.47,1.0,1,6.52,3.0,2,4.73,1,False.
KY,2,408,392-1616,no,yes,27,3.0,1,43.13,2.0,2,19.48,2.0,3,8.57,2.0,2,2.48,7,False.
NJ,2,415,379-6652,no,yes,22,1.0,3,6.95,1.0,2,11.34,3.0,2,11.89,2.0,3,3.21,0,False.
DC,2,510,403-2455,yes,no,0,1.0,2,11.65,3.0,3,28.65,2.0,2,9.23,3.0,3,3.27,0,False.
NY,1,415,391-1348,no,yes,37,2.0,1,27.8,2.0,2,17.26,2.0,2,10.44,1.0,2,2.11,2,False.
OR,2,415,366-4334,no,yes,38,2.0,1,36.33,3.0,2,21.51,2.0,1,9.35,2.0,2,2.89,2,False.
OK,2,415,406-5059,no,yes,36,2.0,3,34.22,1.0,1,3.59,1.0,2,5.66,1.0,2,1.46,1,False.
TX,3,415,350-8680,no,yes,40,2.0,2,29.1,1.0,2,12.38,2.0,2,8.86,3.0,3,3.78,1,False.
UT,3,415,398-9870,no,yes,22,2.0,2,28.31,2.0,2,15.56,1.0,2,5.44,2.0,2,2.3,0,False.
AL,1,408,404-5387,no,yes,28,1.0,2,24.02,2.0,2,14.28,1.0,1,5.11,1.0,1,2.11,1,False.
RI,3,415,415-8151,no,yes,29,2.0,1,35.68,1.0,1,13.43,1.0,3,6.39,1.0,1,1.78,0,False.
MN,3,415,416-2778,yes,yes,20,3.0,3,40.38,3.0,2,21.54,3.0,1,11.93,3.0,2,3.83,9,True.
MD,2,510,391-7661,no,yes,31,1.0,2,17.53,3.0,3,20.66,1.0,2,3.44,3.0,3,3.29,3,False.
RI,2,510,339-4317,no,yes,27,1.0,2,22.02,3.0,2,21.16,3.0,3,12.06,2.0,2,3.21,1,False.
WI,1,510,418-6455,yes,no,0,3.0,2,47.57,3.0,2,21.14,2.0,3,7.69,1.0,3,2.27,2,True.
VT,2,510,378-3508,yes,yes,41,1.0,2,23.26,2.0,1,17.07,1.0,1,6.02,2.0,3,2.78,5,True.
CT,1,415,390-9359,no,yes,31,1.0,1,17.02,3.0,2,20.94,3.0,3,11.48,1.0,2,1.59,0,False.
OK,2,408,364-2495,no,yes,31,3.0,1,40.31,2.0,3,17.48,2.0,1,8.85,2.0,2,2.73,4,False.
UT,1,510,402-9980,yes,no,0,1.0,2,13.29,2.0,3,16.65,1.0,2,4.86,2.0,3,2.73,2,False.
NE,2,415,400-3150,no,yes,25,2.0,1,33.08,1.0,2,10.19,2.0,1,7.9,3.0,1,3.54,2,False.
TX,1,408,420-1259,no,yes,20,2.0,2,33.07,2.0,2,18.16,3.0,2,10.65,2.0,1,2.57,1,False.
RI,1,408,422-4956,no,yes,18,2.0,2,24.96,3.0,1,26.35,2.0,3,8.04,1.0,3,1.94,0,False.
WY,2,408,389-8606,no,yes,28,2.0,2,34.12,3.0,3,22.46,2.0,2,7.77,2.0,2,2.46,1,False.
CT,1,415,417-7973,no,yes,29,3.0,2,39.0,3.0,1,21.88,2.0,3,10.42,1.0,1,2.16,2,False.
AZ,2,510,385-7387,no,yes,37,1.0,2,20.66,3.0,2,23.07,3.0,2,11.19,2.0,2,3.05,2,False.
MD,2,510,362-2776,yes,no,0,2.0,1,36.72,2.0,3,16.0,1.0,2,6.62,1.0,3,0.97,2,False.
NC,3,408,344-3160,yes,yes,32,3.0,3,37.59,3.0,2,22.52,2.0,2,7.6,3.0,2,4.16,2,True.
MN,3,415,335-3913,no,yes,26,1.0,2,12.63,2.0,3,15.07,3.0,2,13.33,3.0,2,3.92,2,False.
WI,1,415,355-7705,yes,no,0,1.0,2,10.59,3.0,1,23.38,1.0,2,6.24,2.0,2,2.92,1,False.
FL,1,408,410-7108,no,yes,31,3.0,2,38.86,3.0,2,21.12,2.0,3,7.52,2.0,1,2.43,3,False.
SD,2,415,351-7369,no,yes,36,3.0,2,52.68,2.0,2,17.03,2.0,2,8.26,3.0,1,3.83,1,False.
CO,2,408,393-8199,no,yes,30,2.0,1,31.25,2.0,2,19.52,1.0,3,6.48,1.0,2,2.08,1,False.
CT,1,408,388-4879,no,yes,21,2.0,2,31.74,3.0,1,28.48,2.0,3,8.42,3.0,2,4.46,1,False.
PA,3,415,416-1557,no,yes,25,3.0,1,37.94,2.0,3,15.57,1.0,2,6.79,2.0,2,2.75,3,False.
TX,2,408,355-7293,yes,no,0,3.0,2,37.71,2.0,3,17.32,2.0,3,9.71,1.0,2,2.27,1,False.
WI,2,408,375-8493,no,yes,14,1.0,1,13.63,2.0,2,18.62,1.0,2,5.52,2.0,1,2.32,1,False.
ME,2,510,381-9049,no,yes,29,2.0,2,35.22,3.0,3,21.6,2.0,2,7.62,2.0,2,2.57,2,False.
