State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
HI,1,510,410-7789,no,no,0,1.0,3,20.28,2.0,2,18.28,2.0,2,8.04,2.0,1,3.0,1,False.
IL,3,415,416-8428,no,no,0,1.0,2,14.42,1.0,1,11.62,3.0,3,11.27,3.0,3,3.83,2,False.
NH,2,510,370-3359,no,no,0,3.0,2,38.44,2.0,2,17.13,3.0,2,11.08,2.0,2,2.78,1,False.
LA,3,408,383-1121,no,no,0,2.0,3,36.04,1.0,3,2.65,3.0,1,13.2,3.0,3,3.4,3,False.
AZ,1,408,360-1596,no,no,0,3.0,3,42.43,3.0,3,21.45,3.0,2,12.61,2.0,2,3.19,1,True.
OK,1,408,395-2854,no,yes,25,2.0,2,30.06,2.0,1,16.58,2.0,3,9.61,1.0,2,2.24,0,False.
GA,1,415,362-1407,no,yes,37,3.0,1,37.4,2.0,2,18.47,1.0,1,6.88,3.0,3,3.97,3,False.
AK,1,408,341-9764,no,yes,30,2.0,3,24.87,1.0,1,13.81,1.0,2,5.82,3.0,3,3.92,0,False.
MA,2,415,353-3305,no,no,0,1.0,1,22.24,2.0,3,19.01,2.0,2,10.25,2.0,2,2.7,1,False.
AK,3,415,402-1381,yes,yes,33,2.0,2,34.66,2.0,2,15.95,1.0,2,4.58,2.0,3,2.84,3,False.
NJ,3,408,332-9891,no,no,0,1.0,2,23.87,3.0,2,23.1,2.0,2,8.47,2.0,3,3.0,1,False.
GA,2,408,372-9976,no,no,0,1.0,2,21.47,2.0,1,14.18,2.0,3,8.45,2.0,1,2.54,3,False.
MD,3,408,383-6029,yes,yes,41,2.0,1,29.43,2.0,2,17.33,1.0,1,5.5,3.0,3,3.94,0,True.
AR,1,510,353-7289,no,no,0,1.0,1,21.22,3.0,2,23.99,3.0,1,14.02,2.0,2,2.7,2,False.
ID,3,415,390-7274,no,no,0,1.0,1,14.59,1.0,2,14.05,2.0,2,8.03,2.0,2,2.48,3,False.
WI,1,510,352-1237,no,no,0,2.0,1,26.18,2.0,3,19.19,3.0,1,11.94,1.0,2,0.95,1,False.
OR,1,408,353-3061,no,yes,28,1.0,2,20.55,2.0,2,18.11,1.0,3,7.34,2.0,2,2.3,2,False.
MI,1,415,363-5450,no,no,0,2.0,3,35.92,1.0,3,13.82,1.0,3,6.06,3.0,2,3.56,3,False.
DE,3,408,364-1995,no,no,0,2.0,3,31.79,1.0,1,11.44,3.0,3,10.9,1.0,2,2.0,2,False.
ID,2,415,398-1294,no,no,0,2.0,3,27.05,2.0,3,19.66,1.0,2,6.44,2.0,2,2.38,5,True.
WY,2,415,405-7146,no,yes,24,1.0,3,22.64,2.0,1,18.46,1.0,1,3.18,2.0,2,2.97,1,False.
IA,1,408,413-4957,no,no,0,2.0,2,32.62,3.0,2,22.93,3.0,2,10.66,1.0,2,2.11,3,False.
IN,1,408,420-5645,no,no,0,3.0,1,37.5,2.0,3,17.94,3.0,3,11.21,1.0,2,1.84,1,False.
VA,1,408,349-4396,no,no,0,2.0,2,31.64,2.0,1,16.17,3.0,1,12.73,2.0,3,3.08,2,False.
UT,2,415,404-3211,no,no,0,2.0,3,27.23,3.0,1,22.74,2.0,1,10.28,2.0,2,2.51,2,False.
WY,2,415,353-3759,no,no,0,2.0,1,25.67,2.0,3,18.67,2.0,3,9.18,2.0,2,2.62,5,True.
IN,2,408,363-5947,no,no,0,2.0,1,29.84,3.0,1,21.19,3.0,2,12.16,2.0,2,2.75,1,False.
CO,3,415,340-5121,no,no,0,1.0,2,21.57,2.0,1,15.3,1.0,3,6.34,1.0,1,2.16,1,False.
CO,2,408,370-7574,no,yes,30,2.0,3,33.73,1.0,1,6.4,2.0,1,8.15,1.0,2,1.57,3,True.
WI,1,415,403-9733,no,no,0,2.0,1,25.3,3.0,3,20.95,1.0,2,5.84,3.0,2,3.27,3,False.
OK,2,408,355-7251,no,no,0,3.0,2,38.98,2.0,3,15.08,2.0,2,8.52,2.0,3,3.24,1,False.
ID,3,408,359-5893,no,no,0,2.0,2,32.66,2.0,2,14.44,1.0,1,7.5,2.0,2,3.08,1,False.
CA,2,415,405-3371,no,yes,34,3.0,1,45.66,2.0,3,15.15,1.0,2,7.48,2.0,2,3.13,2,False.
MN,2,510,344-5117,no,yes,33,2.0,2,32.93,3.0,2,20.92,1.0,2,6.21,3.0,2,3.94,2,False.
SD,3,408,332-8160,no,yes,28,2.0,2,30.72,2.0,1,15.96,3.0,1,11.95,3.0,2,3.4,3,False.
NC,1,408,359-4081,no,no,0,1.0,2,22.3,1.0,2,13.85,1.0,2,7.15,1.0,3,2.21,2,False.
WA,1,415,352-8305,no,yes,41,2.0,1,25.18,2.0,2,14.41,2.0,2,9.63,1.0,2,1.67,2,False.
WY,1,415,329-9847,yes,no,0,3.0,2,42.76,2.0,2,18.09,1.0,1,7.1,2.0,2,2.51,0,False.
MN,2,408,365-9011,yes,no,0,1.0,2,21.28,2.0,3,17.54,1.0,3,5.82,1.0,3,2.24,0,False.
UT,2,408,338-9472,no,no,0,2.0,1,35.97,2.0,1,18.44,1.0,1,6.91,1.0,1,2.11,1,False.
TX,3,510,374-8042,no,no,0,2.0,2,30.41,2.0,2,14.37,1.0,2,6.69,3.0,2,3.73,4,True.
NJ,3,408,359-1231,no,no,0,3.0,2,41.11,2.0,1,14.49,3.0,2,13.29,2.0,3,3.19,3,False.
MN,3,510,413-7170,no,yes,46,3.0,2,38.23,2.0,1,16.0,3.0,1,11.46,3.0,1,3.27,0,False.
NM,3,510,415-2935,no,no,0,3.0,1,42.26,1.0,1,12.66,2.0,2,7.76,1.0,2,2.16,3,False.
NV,2,415,399-4246,no,no,0,2.0,3,34.58,2.0,3,19.27,1.0,2,6.86,1.0,2,1.97,1,False.
HI,2,415,362-5889,no,no,0,3.0,2,40.09,1.0,2,13.36,2.0,2,8.47,2.0,2,3.24,0,False.
MN,1,415,350-8921,no,no,0,2.0,2,26.71,2.0,1,18.98,2.0,2,8.16,1.0,1,1.65,1,False.
DC,2,415,374-5353,no,no,0,3.0,2,51.05,2.0,2,15.39,3.0,1,12.15,2.0,2,3.16,0,True.
NY,3,408,360-1171,no,no,0,1.0,3,10.47,1.0,1,6.55,2.0,2,7.79,1.0,3,2.21,4,True.
MN,1,415,355-8887,no,no,0,2.0,1,36.4,1.0,2,13.97,2.0,3,7.99,1.0,2,2.21,2,False.
MD,1,408,333-1967,no,no,0,2.0,2,28.93,1.0,2,13.19,2.0,1,10.29,3.0,1,4.05,1,False.
WV,3,415,354-4577,no,no,0,2.0,2,34.19,3.0,1,25.8,2.0,3,10.08,3.0,1,3.56,1,False.
OR,2,415,331-7425,yes,no,0,2.0,2,36.62,2.0,1,17.41,3.0,2,12.53,3.0,2,3.4,3,False.
CO,1,408,419-2637,no,yes,25,2.0,3,28.15,1.0,2,11.57,2.0,2,7.91,2.0,1,2.97,3,False.
GA,1,415,411-1530,no,yes,24,3.0,2,42.42,3.0,2,22.07,2.0,1,10.02,2.0,2,2.65,1,False.
TX,2,510,395-3026,no,no,0,2.0,2,35.8,3.0,1,21.18,2.0,2,8.61,3.0,1,3.35,2,True.
VT,3,510,388-6441,no,yes,29,2.0,2,30.48,2.0,1,19.2,3.0,1,14.54,2.0,3,2.32,0,False.
IN,2,408,402-1251,no,no,0,2.0,2,26.84,1.0,2,13.18,2.0,1,8.53,1.0,2,2.16,4,True.
WV,2,510,412-9997,no,no,0,2.0,3,36.43,2.0,1,17.72,2.0,2,8.21,2.0,1,3.24,1,False.
KY,2,415,346-7302,no,yes,35,2.0,2,26.2,1.0,1,10.49,2.0,1,9.09,2.0,3,2.94,2,False.
NJ,3,415,358-9095,no,no,0,3.0,3,40.44,3.0,2,21.05,2.0,1,9.4,3.0,2,3.75,1,True.
DC,2,510,400-9770,no,no,0,2.0,1,24.46,2.0,2,16.57,1.0,2,4.93,2.0,1,3.0,1,False.
LA,3,415,334-1275,no,no,0,2.0,2,34.58,2.0,2,16.23,2.0,3,8.82,2.0,2,2.4,0,True.
AR,2,415,340-4953,no,no,0,1.0,2,21.13,2.0,2,14.71,3.0,1,11.39,1.0,3,2.13,1,False.
ME,2,415,400-9510,no,no,0,3.0,2,42.99,2.0,2,15.16,3.0,2,11.88,2.0,3,2.57,3,False.
AZ,2,415,387-6103,no,no,0,2.0,1,30.45,2.0,1,16.2,1.0,2,5.75,2.0,3,2.86,3,False.
AK,2,408,366-4467,no,no,0,3.0,2,47.33,1.0,2,6.89,1.0,3,7.34,2.0,2,2.65,1,False.
MT,1,415,370-3450,no,no,0,2.0,2,27.22,2.0,1,18.13,2.0,1,7.83,3.0,2,3.51,0,False.
AZ,2,415,327-3954,no,no,0,2.0,2,33.69,2.0,1,17.62,2.0,3,8.59,2.0,2,2.35,4,False.
MS,2,408,355-6291,no,no,0,2.0,3,36.06,2.0,2,17.8,2.0,2,7.52,1.0,2,1.43,1,True.
ID,2,415,362-9748,no,no,0,3.0,1,42.81,2.0,3,17.48,3.0,2,12.38,2.0,3,2.65,2,True.
IA,2,510,379-6506,no,yes,21,2.0,3,27.4,3.0,1,21.44,1.0,2,7.21,1.0,3,1.19,4,False.
MA,2,415,347-7741,no,no,0,2.0,3,30.31,2.0,1,16.07,1.0,2,5.81,3.0,2,3.94,0,False.
VT,3,415,354-3783,no,no,0,2.0,1,25.79,1.0,2,10.12,2.0,2,8.1,2.0,3,2.84,0,False.
KY,2,408,401-7594,no,no,0,1.0,2,22.95,2.0,2,15.61,3.0,2,11.04,3.0,3,3.38,1,False.
IN,2,408,397-4976,no,no,0,2.0,2,28.99,2.0,2,14.76,3.0,1,11.19,2.0,1,3.05,1,False.
AZ,2,408,334-2577,no,no,0,3.0,1,40.48,2.0,2,15.91,2.0,3,8.55,2.0,2,3.19,4,False.
MI,1,510,400-3637,no,yes,29,3.0,2,47.84,2.0,1,17.19,2.0,3,8.42,2.0,3,2.43,2,False.
NM,2,510,383-4361,no,yes,21,1.0,3,20.04,1.0,3,13.98,2.0,1,9.76,2.0,2,2.65,1,False.
CO,3,415,371-4306,no,yes,32,2.0,2,25.26,1.0,2,11.14,2.0,3,9.87,2.0,1,2.73,1,False.
UT,3,408,403-4298,no,no,0,3.0,2,39.07,1.0,3,12.57,3.0,2,10.86,2.0,3,2.59,3,False.
MI,2,408,409-3786,no,no,0,2.0,2,28.05,3.0,1,26.96,1.0,1,5.36,1.0,3,2.24,1,False.
MA,2,415,337-4697,no,no,0,2.0,3,31.45,2.0,2,18.98,2.0,2,10.03,3.0,1,3.4,2,False.
AL,2,408,383-1509,no,no,0,2.0,3,27.37,2.0,2,16.23,2.0,3,10.25,3.0,2,3.27,4,False.
DE,2,408,359-9794,no,no,0,1.0,2,21.54,2.0,2,17.51,3.0,3,11.15,3.0,3,3.59,1,False.
AZ,1,415,407-7035,no,no,0,1.0,3,10.01,2.0,1,14.42,2.0,2,9.51,2.0,2,2.54,1,False.
ME,1,510,363-1069,yes,yes,42,2.0,2,33.46,3.0,3,21.67,1.0,3,6.22,3.0,3,5.4,0,True.
NJ,1,510,391-4652,no,no,0,2.0,1,27.64,1.0,2,12.95,1.0,3,2.59,3.0,2,3.83,1,False.
NV,2,415,355-6837,no,no,0,3.0,3,48.03,2.0,1,18.69,2.0,3,7.65,2.0,2,2.54,1,True.
MO,2,510,409-1244,no,yes,36,1.0,3,19.33,1.0,1,13.39,2.0,3,7.99,2.0,2,2.7,2,False.
ID,2,408,328-3266,no,no,0,3.0,3,40.77,2.0,2,18.26,1.0,1,6.45,2.0,2,2.35,2,False.
NE,1,408,352-7072,no,no,0,2.0,2,35.73,2.0,1,19.32,2.0,3,9.0,3.0,3,3.54,1,False.
TX,1,408,370-7550,no,yes,22,2.0,2,36.35,1.0,1,12.05,1.0,3,6.4,1.0,2,1.94,0,False.
MD,2,510,369-5526,no,no,0,2.0,2,32.42,2.0,3,15.6,2.0,2,9.94,2.0,2,2.65,3,False.
MS,3,415,329-4391,no,no,0,2.0,3,29.05,1.0,2,11.25,1.0,2,5.08,2.0,2,3.13,1,False.
NV,3,510,408-4195,no,no,0,2.0,3,26.21,1.0,2,9.37,2.0,3,10.23,2.0,2,2.48,2,False.
AZ,2,408,354-4445,no,no,0,2.0,1,34.24,2.0,2,19.5,3.0,2,11.36,2.0,2,3.24,1,False.
MS,3,415,335-4858,no,no,0,1.0,2,12.02,1.0,2,13.39,1.0,1,6.97,2.0,2,2.46,4,True.
MS,1,510,414-8718,no,yes,27,2.0,3,31.88,1.0,2,12.46,2.0,3,10.16,1.0,3,1.73,4,True.
TX,2,408,409-5939,no,no,0,1.0,2,15.59,2.0,3,16.46,2.0,1,7.88,2.0,2,2.48,2,False.
NE,3,408,331-4902,no,yes,36,2.0,3,36.41,1.0,3,13.74,3.0,2,11.91,2.0,2,2.57,3,False.
NE,2,415,353-6870,no,no,0,2.0,2,24.74,2.0,3,18.5,1.0,3,6.61,2.0,1,2.94,3,False.
CA,2,408,355-2909,no,no,0,2.0,3,28.27,1.0,1,13.45,3.0,1,11.55,1.0,2,1.65,1,False.
NJ,2,415,390-6101,no,no,0,3.0,3,39.27,2.0,3,19.58,3.0,3,11.76,2.0,2,2.57,1,False.
TX,2,408,400-3446,no,no,0,2.0,2,34.05,2.0,2,17.1,2.0,1,9.27,1.0,1,1.92,4,False.
AR,3,408,411-5859,no,no,0,2.0,2,33.49,2.0,3,17.22,2.0,1,9.29,2.0,3,2.46,1,False.
AL,2,510,387-2919,yes,no,0,1.0,2,22.08,2.0,1,14.73,3.0,3,11.12,2.0,2,3.02,3,False.
NY,2,415,374-8525,no,yes,21,2.0,2,29.89,2.0,2,18.49,3.0,3,10.69,1.0,2,1.43,5,False.
FL,2,510,379-5592,no,no,0,2.0,2,34.53,2.0,2,17.86,2.0,3,8.8,2.0,2,3.24,3,False.
AK,3,510,345-8237,no,yes,36,2.0,3,31.14,1.0,1,10.78,3.0,1,11.85,2.0,3,3.02,1,False.
NV,2,415,422-6690,no,yes,23,2.0,2,34.85,1.0,1,12.92,1.0,1,7.14,2.0,2,2.75,2,False.
DE,2,510,346-2359,no,no,0,2.0,3,25.25,3.0,1,23.49,2.0,2,8.71,3.0,2,3.35,1,False.
MD,2,415,374-3534,no,yes,39,2.0,1,34.05,2.0,2,18.73,3.0,3,11.42,2.0,2,2.84,0,False.
MI,3,415,381-4756,no,yes,28,2.0,2,32.74,2.0,1,16.62,1.0,3,4.94,1.0,2,1.84,3,False.
VT,2,510,390-2805,no,no,0,3.0,1,41.91,2.0,1,16.62,2.0,2,9.02,2.0,2,3.16,1,False.
VT,2,408,390-2390,yes,no,0,2.0,1,28.41,2.0,2,15.09,3.0,3,11.22,3.0,3,3.81,2,True.
MI,3,415,419-9097,no,no,0,3.0,2,39.42,1.0,2,13.61,1.0,2,4.97,3.0,3,3.86,3,False.
WA,3,408,386-7281,no,no,0,2.0,2,24.94,2.0,1,17.3,2.0,2,9.15,3.0,2,3.7,1,False.
UT,2,408,380-3561,yes,no,0,3.0,2,46.16,2.0,3,18.39,1.0,2,5.45,2.0,2,3.16,1,False.
LA,2,408,390-8760,no,no,0,2.0,3,30.86,2.0,2,18.56,1.0,2,7.27,2.0,2,2.3,1,False.
RI,3,408,366-6730,no,yes,43,3.0,2,43.81,1.0,2,13.78,3.0,1,12.91,2.0,2,3.0,2,False.
IA,2,408,395-5285,no,no,0,2.0,2,32.95,2.0,3,18.82,2.0,1,7.75,2.0,3,2.86,1,False.
NE,2,415,354-3436,no,no,0,1.0,3,17.48,2.0,2,17.57,3.0,2,13.46,2.0,3,2.73,1,False.
OH,1,408,336-7600,no,no,0,2.0,3,31.94,1.0,3,13.4,2.0,1,10.23,1.0,3,2.03,1,False.
RI,1,415,383-6293,no,no,0,3.0,2,38.42,3.0,3,21.12,1.0,3,6.32,1.0,3,1.86,1,False.
OK,2,415,362-4596,no,no,0,3.0,3,44.27,1.0,1,12.41,3.0,2,12.13,2.0,2,3.11,5,False.
LA,3,408,401-3926,no,no,0,2.0,3,30.38,3.0,3,24.83,3.0,2,11.97,2.0,2,2.65,0,False.
OH,2,415,370-9116,no,no,0,3.0,3,57.36,2.0,3,19.33,1.0,3,6.93,3.0,3,4.27,0,True.
VA,3,510,328-6289,no,yes,23,2.0,3,26.79,3.0,2,21.0,3.0,2,11.66,3.0,1,3.7,0,False.
MO,1,510,350-9994,no,no,0,2.0,3,31.21,3.0,1,21.82,2.0,1,8.04,2.0,1,2.75,1,False.
FL,2,510,351-4616,no,yes,24,1.0,3,24.16,2.0,3,15.59,1.0,3,7.42,2.0,2,2.59,1,False.
SC,2,415,360-5779,no,no,0,1.0,2,23.17,2.0,2,14.64,1.0,2,6.19,1.0,2,1.92,0,False.
VA,3,415,417-4885,no,no,0,3.0,2,36.91,3.0,2,20.53,3.0,2,11.41,2.0,3,3.24,0,False.
IA,3,510,406-4710,no,yes,36,2.0,2,31.88,3.0,3,20.52,2.0,2,10.33,2.0,2,2.84,3,False.
MI,1,415,409-8743,no,no,0,1.0,2,16.81,1.0,3,11.51,3.0,1,10.65,3.0,1,3.29,1,False.
OK,3,415,335-4584,no,no,0,2.0,3,35.07,1.0,2,12.63,2.0,2,7.52,1.0,2,1.65,1,False.
DE,2,415,361-9845,no,yes,33,3.0,2,41.33,2.0,2,18.17,2.0,2,10.29,3.0,1,3.27,2,False.
GA,3,510,366-5699,no,yes,31,2.0,3,32.27,1.0,3,13.88,3.0,3,11.92,1.0,2,2.03,1,False.
DC,3,415,329-9364,no,no,0,2.0,2,34.34,3.0,3,20.67,3.0,2,11.76,2.0,2,2.94,1,False.
AZ,2,408,390-7434,no,yes,38,2.0,3,28.92,2.0,3,16.43,1.0,1,4.77,3.0,2,3.46,1,False.
AL,1,510,404-9680,no,no,0,3.0,2,39.25,2.0,2,15.93,1.0,1,6.93,1.0,1,1.7,0,False.
CO,1,408,338-9398,no,no,0,3.0,2,40.31,2.0,2,19.0,1.0,1,4.38,3.0,1,3.56,1,False.
NH,1,408,394-2445,no,yes,27,2.0,2,30.96,2.0,2,14.42,1.0,1,7.41,2.0,2,2.86,2,False.
NM,1,415,381-2709,no,no,0,1.0,2,20.28,2.0,2,17.98,3.0,1,12.1,2.0,2,2.84,3,False.
OR,1,415,397-5060,no,no,0,1.0,2,19.86,2.0,2,15.21,2.0,3,8.21,3.0,1,3.81,1,False.
LA,3,408,415-2393,no,no,0,3.0,2,37.26,1.0,3,12.7,3.0,2,11.01,1.0,2,1.65,0,False.
NE,2,415,377-1765,no,no,0,3.0,2,42.94,2.0,3,14.37,2.0,2,7.69,2.0,3,3.0,2,False.
MN,1,415,409-2111,no,no,0,2.0,2,25.01,2.0,2,16.18,2.0,3,8.78,3.0,2,3.29,0,False.
MI,3,415,401-3170,no,no,0,2.0,2,34.36,2.0,1,19.5,2.0,3,8.78,2.0,2,3.11,2,False.
AR,2,408,405-5681,no,no,0,2.0,2,29.5,2.0,1,16.5,2.0,2,9.36,3.0,3,4.37,3,False.
KS,1,408,411-4582,no,no,0,3.0,3,39.46,3.0,2,24.85,2.0,2,9.05,1.0,1,0.0,3,False.
WV,2,510,355-5009,yes,yes,23,2.0,3,33.51,2.0,3,18.23,3.0,2,12.7,2.0,2,2.57,4,False.
AK,2,415,372-3750,no,no,0,1.0,2,9.89,1.0,3,11.79,1.0,2,6.16,2.0,1,3.21,5,True.
NY,1,408,405-2888,no,yes,36,1.0,2,19.65,3.0,2,20.2,2.0,2,7.65,2.0,3,2.67,2,False.
NH,1,408,361-3337,no,no,0,2.0,2,31.64,3.0,1,21.62,2.0,3,9.63,3.0,3,3.94,2,False.
VA,3,510,350-1639,yes,no,0,3.0,1,44.18,3.0,3,20.83,1.0,3,6.05,1.0,2,2.27,3,False.
NM,1,415,333-3221,no,no,0,2.0,3,36.43,3.0,3,22.82,3.0,2,10.85,2.0,3,2.92,1,False.
NY,2,408,422-1471,no,no,0,2.0,1,26.98,1.0,3,5.47,2.0,2,8.93,2.0,2,2.75,1,False.
AZ,2,415,399-7865,no,no,0,3.0,1,46.17,2.0,2,19.5,1.0,3,3.48,2.0,2,2.94,2,False.
WY,3,510,373-4819,no,no,0,2.0,2,27.3,1.0,3,13.87,2.0,2,8.42,2.0,2,2.43,1,False.
WA,1,408,338-6981,no,no,0,3.0,2,39.51,2.0,2,15.93,2.0,2,10.4,2.0,2,2.46,1,False.
CO,2,415,418-4365,no,no,0,1.0,1,22.75,2.0,2,15.34,1.0,3,5.05,2.0,2,2.4,0,False.
TX,3,415,359-5461,no,no,0,2.0,2,30.07,1.0,2,7.71,3.0,1,10.71,2.0,1,2.57,1,False.
KY,2,408,375-3586,no,no,0,2.0,1,35.68,2.0,1,16.58,2.0,3,9.37,2.0,2,2.38,2,False.
MT,2,415,407-8376,no,no,0,1.0,3,23.38,2.0,2,17.27,1.0,3,6.75,3.0,1,3.62,0,False.
OK,2,408,408-6496,no,yes,23,3.0,1,49.22,2.0,2,14.16,1.0,2,5.36,2.0,2,2.57,1,False.
MD,2,415,385-7688,no,yes,23,2.0,1,33.68,2.0,1,15.05,2.0,2,8.12,1.0,3,1.84,1,False.
TN,2,415,332-6934,no,no,0,2.0,3,25.45,2.0,3,15.49,3.0,3,11.77,2.0,3,2.62,0,False.
TX,3,510,378-3625,no,no,0,3.0,1,55.51,2.0,2,14.99,2.0,2,8.18,2.0,3,2.89,2,True.
ME,3,510,353-7292,yes,yes,26,3.0,2,49.79,2.0,2,16.97,3.0,3,11.49,3.0,3,3.73,4,True.
DC,1,408,399-6786,no,no,0,1.0,1,14.11,2.0,2,15.05,3.0,2,11.06,3.0,2,3.51,0,False.
MN,1,415,358-3261,no,yes,24,2.0,3,24.77,2.0,3,18.74,3.0,2,11.25,3.0,2,3.54,3,False.
DE,1,408,377-9932,no,no,0,2.0,2,30.99,3.0,2,27.9,3.0,3,11.03,2.0,1,3.02,2,False.
MD,2,415,397-4030,no,no,0,3.0,1,37.06,2.0,2,15.64,3.0,2,10.82,1.0,3,1.73,3,False.
MI,2,510,367-1062,no,no,0,1.0,2,23.9,2.0,1,15.18,2.0,1,9.76,1.0,2,1.84,2,False.
WA,3,415,341-8467,no,no,0,2.0,2,25.96,3.0,1,21.89,2.0,2,8.91,2.0,2,2.54,1,False.
MO,1,415,339-9453,no,yes,36,1.0,1,18.14,2.0,1,17.83,2.0,3,8.57,3.0,1,3.27,1,False.
IN,2,415,344-3388,no,no,0,3.0,2,41.45,1.0,1,7.13,2.0,1,8.09,3.0,3,3.7,2,False.
OR,1,415,375-8013,no,no,0,2.0,2,33.05,2.0,2,15.87,2.0,2,10.05,2.0,2,2.92,3,False.
MD,2,510,408-4142,no,no,0,2.0,2,36.36,1.0,1,12.91,3.0,3,11.7,3.0,2,3.29,3,False.
RI,2,510,386-3671,no,no,0,3.0,2,36.92,3.0,2,20.97,2.0,2,10.17,3.0,3,4.27,3,False.
LA,2,415,411-2284,no,no,0,3.0,1,40.99,1.0,2,13.23,2.0,2,8.47,2.0,3,3.13,1,False.
AZ,3,510,346-7795,yes,no,0,2.0,2,34.6,3.0,2,21.05,2.0,2,8.74,2.0,3,3.21,0,False.
PA,2,415,333-5609,no,yes,24,2.0,3,26.38,3.0,2,20.78,1.0,1,5.51,2.0,2,2.89,1,False.
AZ,2,408,405-1842,no,yes,31,2.0,3,28.49,1.0,3,9.61,3.0,3,11.11,3.0,3,3.29,1,False.
FL,1,510,366-6345,yes,no,0,3.0,2,38.54,2.0,3,19.39,1.0,2,3.29,3.0,2,4.75,2,True.
LA,2,415,337-9345,no,no,0,2.0,2,30.48,2.0,2,15.18,2.0,3,10.13,2.0,3,3.11,3,False.
